"ONTOLOGY" "Term" "N" "DE" "P.DE" "FDR"
"GO:0009966" "BP" "regulation of signal transduction" 2909 1829 2.33292771180642e-12 7.113537958e-10
"GO:0099537" "BP" "trans-synaptic signaling" 719 516 2.53854774605004e-12 7.63730551224976e-10
"GO:0032989" "BP" "cellular component morphogenesis" 745 545 2.69170169849802e-12 7.99152067433016e-10
"GO:0051049" "BP" "regulation of transport" 1701 1099 2.89493902828433e-12 8.48329925119578e-10
"GO:0040011" "BP" "locomotion" 1237 811 3.20017030816426e-12 9.25751831197673e-10
"GO:0048754" "BP" "branching morphogenesis of an epithelial tube" 150 132 3.30238280630617e-12 9.43227413183448e-10
"GO:0010647" "BP" "positive regulation of cell communication" 1708 1101 4.70545413333278e-12 1.32717333830651e-09
"GO:0030030" "BP" "cell projection organization" 1505 1013 4.85296032741015e-12 1.35187897318127e-09
"GO:0099536" "BP" "synaptic signaling" 741 529 5.06247222774675e-12 1.39304418715704e-09
"GO:0098916" "BP" "anterograde trans-synaptic signaling" 714 511 5.56520577947638e-12 1.49492027628696e-09
"GO:0007268" "BP" "chemical synaptic transmission" 714 511 5.56520577947638e-12 1.49492027628696e-09
"GO:0048583" "BP" "regulation of response to stimulus" 3822 2333 6.01006288461086e-12 1.59542422268658e-09
"GO:0006811" "BP" "monoatomic ion transport" 1190 783 6.13029008090498e-12 1.60841703936674e-09
"GO:0045595" "BP" "regulation of cell differentiation" 1545 1017 6.25176276595451e-12 1.62143419598848e-09
"GO:0040012" "BP" "regulation of locomotion" 1061 708 6.52520509919743e-12 1.67312190748058e-09
"GO:0032879" "BP" "regulation of localization" 2052 1309 8.92681043421541e-12 2.26319719817569e-09
"GO:0006816" "BP" "calcium ion transport" 424 307 1.06760782359408e-11 2.67661143684186e-09
"GO:0023056" "BP" "positive regulation of signaling" 1709 1099 1.46701132249841e-11 3.63754323965431e-09
"GO:0048858" "BP" "cell projection morphogenesis" 617 461 1.48641160267074e-11 3.64558602202855e-09
"GO:0009790" "BP" "embryo development" 1089 753 1.89318008369738e-11 4.59330273210189e-09
"GO:0007167" "BP" "enzyme-linked receptor protein signaling pathway" 966 659 2.13533845682237e-11 5.12572095103616e-09
"GO:0007389" "BP" "pattern specification process" 456 342 2.33655765359859e-11 5.54969335745248e-09
"GO:0120039" "BP" "plasma membrane bounded cell projection morphogenesis" 612 457 2.40539655839841e-11 5.65368416080226e-09
"GO:0010959" "BP" "regulation of metal ion transport" 378 276 3.24059927677285e-11 7.53823526609306e-09
"GO:0048812" "BP" "neuron projection morphogenesis" 596 445 4.69373698672586e-11 1.06979274109578e-08
"GO:0030029" "BP" "actin filament-based process" 772 543 5.01286187102333e-11 1.1311021525777e-08
"GO:0030334" "BP" "regulation of cell migration" 965 644 6.83523068111154e-11 1.51206024596667e-08
"GO:0050896" "BP" "response to stimulus" 8237 4714 7.10037812867918e-11 1.54700899102771e-08
"GO:0032990" "BP" "cell part morphogenesis" 636 470 7.13033748745266e-11 1.54700899102771e-08
"GO:0042127" "BP" "regulation of cell population proliferation" 2149 1365 8.46563284053844e-11 1.81922418489438e-08
"GO:2000145" "BP" "regulation of cell motility" 1020 676 8.80093327112201e-11 1.87343639933582e-08
"GO:0045597" "BP" "positive regulation of cell differentiation" 849 582 1.06806146213374e-10 2.25231204033511e-08
"GO:0030036" "BP" "actin cytoskeleton organization" 685 485 1.2947568842969e-10 2.68026553552984e-08
"GO:0060562" "BP" "epithelial tube morphogenesis" 325 253 1.34303716405296e-10 2.75493550633555e-08
"GO:0048518" "BP" "positive regulation of biological process" 5944 3549 1.50384770882669e-10 3.05701078396084e-08
"GO:0007409" "BP" "axonogenesis" 419 322 1.57744085449149e-10 3.17797995006661e-08
"GO:0003002" "BP" "regionalization" 415 311 1.81516274291777e-10 3.62454266647758e-08
"GO:0099177" "BP" "regulation of trans-synaptic signaling" 465 344 1.85469804506774e-10 3.67100058674635e-08
"GO:0002009" "BP" "morphogenesis of an epithelium" 501 369 1.9273712642345e-10 3.78167001792933e-08
"GO:0090596" "BP" "sensory organ morphogenesis" 270 211 1.99203873678983e-10 3.87485879801084e-08
"GO:0006812" "BP" "monoatomic cation transport" 993 655 2.0682729785704e-10 3.98876166568055e-08
"GO:0050804" "BP" "modulation of chemical synaptic transmission" 464 343 2.39813186659932e-10 4.57131476746022e-08
"GO:0061564" "BP" "axon development" 478 360 2.41086003070274e-10 4.57131476746022e-08
"GO:0044057" "BP" "regulation of system process" 536 380 2.96831381970862e-10 5.5352919857773e-08
"GO:0048880" "BP" "sensory system development" 392 291 3.10869619591662e-10 5.73102355864058e-08
"GO:0061061" "BP" "muscle structure development" 675 473 3.12407329246938e-10 5.73102355864058e-08
"GO:0040017" "BP" "positive regulation of locomotion" 579 398 4.32658611581423e-10 7.87299105784131e-08
"GO:0150063" "BP" "visual system development" 386 286 4.42257879328134e-10 7.98328543132802e-08
"GO:0035556" "BP" "intracellular signal transduction" 2540 1587 4.50333107433556e-10 8.06453669534187e-08
"GO:0071495" "BP" "cellular response to endogenous stimulus" 1440 939 5.00425825496428e-10 8.77475868953938e-08
"GO:0042063" "BP" "gliogenesis" 328 248 5.01659223076839e-10 8.77475868953938e-08
"GO:0009967" "BP" "positive regulation of signal transduction" 1506 965 5.43439934475959e-10 9.43244513962734e-08
"GO:0010001" "BP" "glial cell differentiation" 246 193 5.54672366811259e-10 9.48609065192236e-08
"GO:0007411" "BP" "axon guidance" 221 182 7.33421120233193e-10 1.23499359380162e-07
"GO:0097485" "BP" "neuron projection guidance" 221 182 7.33421120233193e-10 1.23499359380162e-07
"GO:0009719" "BP" "response to endogenous stimulus" 1680 1077 7.7536887020687e-10 1.29595727313688e-07
"GO:0043583" "BP" "ear development" 217 172 1.11004650652668e-09 1.84169774803441e-07
"GO:0001654" "BP" "eye development" 382 282 1.26255347613135e-09 2.07943479090714e-07
"GO:0048667" "BP" "cell morphogenesis involved in neuron differentiation" 537 400 1.34367953605772e-09 2.19701340953669e-07
"GO:0034762" "BP" "regulation of transmembrane transport" 555 386 1.48580982842632e-09 2.39860664932688e-07
"GO:2000147" "BP" "positive regulation of cell motility" 565 387 1.48823316302856e-09 2.39860664932688e-07
"GO:0048522" "BP" "positive regulation of cellular process" 5435 3255 1.54046961367273e-09 2.46518839453273e-07
"GO:0051716" "BP" "cellular response to stimulus" 6959 4014 1.72482625711573e-09 2.74077321588446e-07
"GO:0034765" "BP" "regulation of monoatomic ion transmembrane transport" 428 305 2.00034837636868e-09 3.1563538996072e-07
"GO:0043010" "BP" "camera-type eye development" 336 251 2.09013709802969e-09 3.27512871388486e-07
