"ONTOLOGY" "Term" "N" "DE" "P.DE" "FDR"
"GO:0000379" "BP" "tRNA-type intron splice site recognition and cleavage" 3 0 1 1
"GO:0000380" "BP" "alternative mRNA splicing, via spliceosome" 67 9 0.888985860270786 1
"GO:0000381" "BP" "regulation of alternative mRNA splicing, via spliceosome" 51 8 0.783649927777536 1
"GO:0000387" "BP" "spliceosomal snRNP assembly" 41 1 0.997425588713135 1
"GO:0000388" "BP" "spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)" 1 0 0.999999999983092 1
"GO:0000389" "BP" "mRNA 3'-splice site recognition" 6 0 1 1
"GO:0000390" "BP" "spliceosomal complex disassembly" 3 0 1 1
"GO:0000393" "BP" "spliceosomal conformational changes to generate catalytic conformation" 5 0 1 1
"GO:0000394" "BP" "RNA splicing, via endonucleolytic cleavage and ligation" 14 1 0.838488846345788 1
"GO:0000395" "BP" "mRNA 5'-splice site recognition" 9 0 1 1
"GO:0000398" "BP" "mRNA splicing, via spliceosome" 279 18 0.999999069363553 1
"GO:0000409" "BP" "regulation of transcription by galactose" 1 0 0.999999999984372 1
"GO:0000411" "BP" "positive regulation of transcription by galactose" 1 0 0.999999999984372 1
"GO:0000413" "BP" "protein peptidyl-prolyl isomerization" 18 1 0.928780449378718 1
"GO:0000422" "BP" "autophagy of mitochondrion" 89 7 0.996766122636906 1
"GO:0000423" "BP" "mitophagy" 33 1 0.997897205907233 1
"GO:0000425" "BP" "pexophagy" 6 0 1 1
"GO:0000429" "BP" "carbon catabolite regulation of transcription from RNA polymerase II promoter" 6 1 0.679726603981683 1
"GO:0000430" "BP" "regulation of transcription from RNA polymerase II promoter by glucose" 5 1 0.6443949099426 1
"GO:0000431" "BP" "regulation of transcription from RNA polymerase II promoter by galactose" 1 0 0.999999999984372 1
"GO:0000432" "BP" "positive regulation of transcription from RNA polymerase II promoter by glucose" 5 1 0.6443949099426 1
"GO:0000435" "BP" "positive regulation of transcription from RNA polymerase II promoter by galactose" 1 0 0.999999999984372 1
"GO:0000436" "BP" "carbon catabolite activation of transcription from RNA polymerase II promoter" 6 1 0.679726603981683 1
"GO:0000447" "BP" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 10 0 1 1
"GO:0000448" "BP" "cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 2 0 1 1
"GO:0000451" "BP" "rRNA 2'-O-methylation" 3 0 1 1
"GO:0000454" "BP" "snoRNA guided rRNA pseudouridine synthesis" 2 0 1 1
"GO:0000455" "BP" "enzyme-directed rRNA pseudouridine synthesis" 3 0 1 1
"GO:0000460" "BP" "maturation of 5.8S rRNA" 35 3 0.881902035080087 1
"GO:0000461" "BP" "endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1 0 0.999999999970355 1
"GO:0000462" "BP" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 34 3 0.902230239372256 1
"GO:0000463" "BP" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 16 1 0.871803823920263 1
"GO:0000466" "BP" "maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 25 2 0.851032534067358 1
"GO:0000467" "BP" "exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 9 1 0.734204766884773 1
"GO:0000470" "BP" "maturation of LSU-rRNA" 27 2 0.880546654706757 1
"GO:0000472" "BP" "endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 5 1 0.639883254087648 1
"GO:0000479" "BP" "endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 17 2 0.72254759067993 1
"GO:0000480" "BP" "endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 8 1 0.758990833425742 1
"GO:0000481" "BP" "maturation of 5S rRNA" 1 0 0.999999999997651 1
"GO:0000491" "BP" "small nucleolar ribonucleoprotein complex assembly" 12 0 1 1
"GO:0000492" "BP" "box C/D snoRNP assembly" 10 0 1 1
"GO:0000493" "BP" "box H/ACA snoRNP assembly" 2 0 1 1
"GO:0000494" "BP" "box C/D RNA 3'-end processing" 3 1 0.284341394458518 1
"GO:0000495" "BP" "box H/ACA RNA 3'-end processing" 1 0 1.00000000000231 1
"GO:0000512" "BP" "lncRNA-mediated post-transcriptional gene silencing" 6 1 0.650371614202007 1
"GO:0000578" "BP" "embryonic axis specification" 40 9 0.29881191331493 1
"GO:0000706" "BP" "meiotic DNA double-strand break processing" 3 1 0.291932243858938 1
"GO:0000707" "BP" "meiotic DNA recombinase assembly" 1 0 0.999999999989801 1
"GO:0000708" "BP" "meiotic strand invasion" 1 0 0.99999999999241 1
"GO:0000709" "BP" "meiotic joint molecule formation" 1 0 0.99999999999241 1
"GO:0000710" "BP" "meiotic mismatch repair" 1 0 0.999999999974223 1
"GO:0000711" "BP" "meiotic DNA repair synthesis" 3 0 1 1
"GO:0000712" "BP" "resolution of meiotic recombination intermediates" 15 1 0.899119931366689 1
"GO:0000715" "BP" "nucleotide-excision repair, DNA damage recognition" 1 0 1.00000000000644 1
"GO:0000717" "BP" "nucleotide-excision repair, DNA duplex unwinding" 1 0 0.999999999977613 1
"GO:0000720" "BP" "pyrimidine dimer repair by nucleotide-excision repair" 4 0 1 1
"GO:0000722" "BP" "telomere maintenance via recombination" 14 1 0.89358031884126 1
"GO:0000723" "BP" "telomere maintenance" 149 14 0.992480788054231 1
"GO:0000724" "BP" "double-strand break repair via homologous recombination" 164 13 0.998346535027463 1
"GO:0000725" "BP" "recombinational repair" 168 13 0.99876557180823 1
"GO:0000727" "BP" "double-strand break repair via break-induced replication" 12 1 0.86801436519515 1
"GO:0000729" "BP" "DNA double-strand break processing" 19 4 0.289121814482866 1
"GO:0000730" "BP" "DNA recombinase assembly" 4 3 0.00974257640861479 0.502368673902035
"GO:0000731" "BP" "DNA synthesis involved in DNA repair" 39 1 0.998497720295857 1
"GO:0000732" "BP" "strand displacement" 1 0 0.999999999974737 1
"GO:0000741" "BP" "karyogamy" 1 0 0.999999999955037 1
"GO:0000768" "BP" "syncytium formation by plasma membrane fusion" 61 18 0.0301691647848213 0.837038217764027
