"ONTOLOGY" "Term" "N" "DE" "P.DE" "FDR"
"GO:0010033" "BP" "response to organic substance" 2668 499 0.000112707255800168 0.0276426795638587
"GO:0007218" "BP" "neuropeptide signaling pathway" 102 29 0.000127765471683453 0.0309989258394132
"GO:1903522" "BP" "regulation of blood circulation" 244 68 0.000139117772691366 0.0327958464855795
"GO:0008016" "BP" "regulation of heart contraction" 196 57 0.000139532053829801 0.0327958464855795
"GO:0023052" "BP" "signaling" 5998 1060 0.000145194970720471 0.0335389521018292
"GO:0007610" "BP" "behavior" 625 154 0.000145666429089668 0.0335389521018292
"GO:0060047" "BP" "heart contraction" 230 65 0.000148957107872117 0.0339501836568328
"GO:0043269" "BP" "regulation of monoatomic ion transport" 541 129 0.000158011136962126 0.0353006266773605
"GO:0006936" "BP" "muscle contraction" 337 87 0.00016303445001336 0.0360657777460927
"GO:0048584" "BP" "positive regulation of response to stimulus" 2184 418 0.000193698209555528 0.0420250615424128
"GO:0007154" "BP" "cell communication" 6090 1074 0.000195764780885561 0.0420689191990647
"GO:0048522" "BP" "positive regulation of cellular process" 5435 1002 0.000201914623978534 0.0425794539761836
"GO:0001709" "BP" "cell fate determination" 42 21 0.000207598303658845 0.0427200804455102
"GO:0008284" "BP" "positive regulation of cell population proliferation" 1211 258 0.000207799644382511 0.0427200804455102
"GO:0010557" "BP" "positive regulation of macromolecule biosynthetic process" 2451 485 0.000217392970575707 0.0437969195363415
"GO:0007155" "BP" "cell adhesion" 1456 306 0.000246152846900855 0.0491521490041672
"GO:0043410" "BP" "positive regulation of MAPK cascade" 455 106 0.00024943091446601 0.0493698171404477
"GO:0045893" "BP" "positive regulation of DNA-templated transcription" 1602 345 0.000266901830673507 0.0519170078216984
"GO:0033993" "BP" "response to lipid" 881 184 0.000271647595268841 0.0523885157234711
"GO:1902680" "BP" "positive regulation of RNA biosynthetic process" 1605 345 0.000297481211195316 0.056439732355144
"GO:1901700" "BP" "response to oxygen-containing compound" 1717 343 0.000297656805099368 0.056439732355144
"GO:0044057" "BP" "regulation of system process" 536 130 0.000308683968690388 0.058042875579416
"GO:0034765" "BP" "regulation of monoatomic ion transmembrane transport" 428 105 0.000311863786371999 0.0580843622766524
"GO:0050878" "BP" "regulation of body fluid levels" 347 84 0.000314053013550416 0.0580843622766524
"GO:0001819" "BP" "positive regulation of cytokine production" 476 99 0.000333337242067957 0.0611497685367592
"GO:0045597" "BP" "positive regulation of cell differentiation" 849 194 0.000339274614656264 0.0617370355250317
"GO:0007189" "BP" "adenylate cyclase-activating G protein-coupled receptor signaling pathway" 153 41 0.000355827606276029 0.0642311528640986
"GO:0048665" "BP" "neuron fate specification" 34 17 0.000381475264905259 0.0683143482327163
"GO:0030334" "BP" "regulation of cell migration" 965 209 0.000422219908655751 0.0739952645271237
"GO:0001817" "BP" "regulation of cytokine production" 808 150 0.000423036213614561 0.0739952645271237
"GO:0030182" "BP" "neuron differentiation" 1332 315 0.000451119848990497 0.0759042935596272
"GO:2000145" "BP" "regulation of cell motility" 1020 218 0.0004524359742739 0.0759042935596272
"GO:0048699" "BP" "generation of neurons" 1408 331 0.000454508760281899 0.0759042935596272
"GO:0007212" "BP" "dopamine receptor signaling pathway" 37 16 0.000457373807680428 0.0759042935596272
"GO:0001955" "BP" "blood vessel maturation" 8 6 0.000459725063086191 0.0759042935596272
"GO:0048468" "BP" "cell development" 2658 540 0.00046086191356448 0.0759042935596272
"GO:0001816" "BP" "cytokine production" 821 152 0.000491729432912086 0.0795087755751057
"GO:0070091" "BP" "glucagon secretion" 8 6 0.000496422422872641 0.0795087755751057
"GO:0070092" "BP" "regulation of glucagon secretion" 8 6 0.000496422422872641 0.0795087755751057
"GO:0040012" "BP" "regulation of locomotion" 1061 226 0.000496841754834688 0.0795087755751057
"GO:0070887" "BP" "cellular response to chemical stimulus" 2573 474 0.000504721566350068 0.0795349008040386
"GO:0007165" "BP" "signal transduction" 5557 969 0.000507579583220243 0.0795349008040386
"GO:0009719" "BP" "response to endogenous stimulus" 1680 345 0.000534722228731377 0.0832101542696192
"GO:0044706" "BP" "multi-multicellular organism process" 194 49 0.00054454777387972 0.0841587395193288
"GO:0050793" "BP" "regulation of developmental process" 2421 493 0.000571540873778611 0.0877295801084394
"GO:0071869" "BP" "response to catecholamine" 88 29 0.000622192125748998 0.0929744577841086
"GO:0071867" "BP" "response to monoamine" 88 29 0.000622192125748998 0.0929744577841086
"GO:0030855" "BP" "epithelial cell differentiation" 708 152 0.000633418117546793 0.0940292526600385
"GO:0042592" "BP" "homeostatic process" 1642 322 0.000653170522557843 0.0951706422959684
"GO:0071870" "BP" "cellular response to catecholamine stimulus" 85 28 0.00065376039513717 0.0951706422959684
"GO:0071868" "BP" "cellular response to monoamine stimulus" 85 28 0.00065376039513717 0.0951706422959684
"GO:0009612" "BP" "response to mechanical stimulus" 207 56 0.000682207051314865 0.0980466236042587
"GO:0009605" "BP" "response to external stimulus" 2537 446 0.000688183293720704 0.0981604683229492
"GO:0061061" "BP" "muscle structure development" 675 160 0.000691699807806636 0.0981604683229492
"GO:0043010" "BP" "camera-type eye development" 336 89 0.000703589406009559 0.099223695982498
"GO:0042221" "BP" "response to chemical" 3763 634 0.000716470618277683 0.100277059182915
"GO:0001946" "BP" "lymphangiogenesis" 18 10 0.000719946976938139 0.100277059182915
"GO:0007631" "BP" "feeding behavior" 101 29 0.000751992982900036 0.103851527587492
"GO:0043009" "BP" "chordate embryonic development" 634 155 0.000754815215580067 0.103851527587492
"GO:0071495" "BP" "cellular response to endogenous stimulus" 1440 303 0.000767299416570176 0.104883307305718
"GO:0050877" "BP" "nervous system process" 1355 237 0.000771610929478339 0.104883307305718
"GO:0022603" "BP" "regulation of anatomical structure morphogenesis" 879 204 0.000790962235358452 0.106869891488791
"GO:0048880" "BP" "sensory system development" 392 101 0.00082880735626 0.111316721349111
"GO:0045765" "BP" "regulation of angiogenesis" 327 75 0.000835661627561182 0.111573189137814
"GO:0044703" "BP" "multi-organism reproductive process" 184 47 0.000865694736964245 0.113456007994725
"GO:0030155" "BP" "regulation of cell adhesion" 766 170 0.0008672931181452 0.113456007994725
"GO:0034762" "BP" "regulation of transmembrane transport" 555 128 0.000868537975222726 0.113456007994725
"GO:0007186" "BP" "G protein-coupled receptor signaling pathway" 1110 170 0.000869876324370121 0.113456007994725
"GO:0060538" "BP" "skeletal muscle organ development" 168 50 0.000907935286965304 0.117274364340536
"GO:0045766" "BP" "positive regulation of angiogenesis" 178 47 0.000915394870419381 0.117274364340536
"GO:1904018" "BP" "positive regulation of vasculature development" 178 47 0.000915394870419381 0.117274364340536
"GO:0007422" "BP" "peripheral nervous system development" 80 30 0.000919941610010408 0.117274364340536
"GO:0040011" "BP" "locomotion" 1237 252 0.000946579848989914 0.119992290520272
"GO:0032278" "BP" "positive regulation of gonadotropin secretion" 7 5 0.000971923962249068 0.122516716671441
"GO:0050954" "BP" "sensory perception of mechanical stimulus" 176 50 0.00100671254362102 0.12619701019036
"GO:0021700" "BP" "developmental maturation" 317 78 0.00102949397023226 0.127624644433177
"GO:0042531" "BP" "positive regulation of tyrosine phosphorylation of STAT protein" 63 18 0.00103029811421098 0.127624644433177
"GO:0007200" "BP" "phospholipase C-activating G protein-coupled receptor signaling pathway" 101 29 0.00103644544954064 0.127624644433177
"GO:0009792" "BP" "embryo development ending in birth or egg hatching" 654 158 0.00104072569472188 0.127624644433177
"GO:1990845" "BP" "adaptive thermogenesis" 165 48 0.00104671773776948 0.12766561640557
"GO:0120161" "BP" "regulation of cold-induced thermogenesis" 148 44 0.00105709525684917 0.128238157933036
"GO:0050731" "BP" "positive regulation of peptidyl-tyrosine phosphorylation" 160 41 0.00108435908055351 0.13084212991235
"GO:1901342" "BP" "regulation of vasculature development" 331 75 0.00111642609590275 0.133994885255051
"GO:0061337" "BP" "cardiac conduction" 93 31 0.0011383527772305 0.135903661721846
"GO:2000026" "BP" "regulation of multicellular organismal development" 1409 294 0.00120860346632015 0.14353120323183
"GO:0009611" "BP" "response to wounding" 532 121 0.0012244969558553 0.144657326240414
"GO:0051254" "BP" "positive regulation of RNA metabolic process" 1795 366 0.0012435382690405 0.145662305451479
"GO:0001763" "BP" "morphogenesis of a branching structure" 195 60 0.00124591495090123 0.145662305451479
"GO:0106106" "BP" "cold-induced thermogenesis" 149 44 0.00130796400917368 0.152128350015438
"GO:0042471" "BP" "ear morphogenesis" 123 40 0.00134462645991621 0.155590520213074
"GO:0150063" "BP" "visual system development" 386 98 0.00136324593999552 0.156240428173855
"GO:0007267" "BP" "cell-cell signaling" 1613 343 0.00137101598911644 0.156240428173855
"GO:0061138" "BP" "morphogenesis of a branching epithelium" 181 56 0.00146353701851973 0.164294772566563
"GO:0010273" "BP" "detoxification of copper ion" 14 6 0.00148455439207416 0.165012242870746
"GO:1990169" "BP" "stress response to copper ion" 14 6 0.00148455439207416 0.165012242870746
"GO:0001654" "BP" "eye development" 382 97 0.00156293814474872 0.172513457223112
"GO:0090596" "BP" "sensory organ morphogenesis" 270 74 0.00156733109070812 0.172513457223112
"GO:0014013" "BP" "regulation of gliogenesis" 106 34 0.00157878682074189 0.172930804967087
"GO:0007191" "BP" "adenylate cyclase-activating dopamine receptor signaling pathway" 9 6 0.00159270535398587 0.173612577813223
"GO:0040017" "BP" "positive regulation of locomotion" 579 127 0.00163978427702799 0.177234498812293
"GO:0009954" "BP" "proximal/distal pattern formation" 34 16 0.00164164200725799 0.177234498812293
"GO:0050896" "BP" "response to stimulus" 8237 1366 0.0016749524017871 0.179969647590115
"GO:0042596" "BP" "fear response" 42 17 0.00169724676471571 0.181500834118698
"GO:0051241" "BP" "negative regulation of multicellular organismal process" 1175 227 0.00172448859508956 0.183544154054721
"GO:0002252" "BP" "immune effector process" 586 112 0.0017349801335017 0.183793857898274
"GO:0007565" "BP" "female pregnancy" 164 42 0.0017887239307058 0.188601713889933
"GO:2000147" "BP" "positive regulation of cell motility" 565 124 0.00185166214644788 0.193430114224306
"GO:0003151" "BP" "outflow tract morphogenesis" 81 29 0.001931393592101 0.199716389885527
"GO:0071310" "BP" "cellular response to organic substance" 1913 356 0.00193839254498007 0.199716389885527
"GO:0010647" "BP" "positive regulation of cell communication" 1708 337 0.00199636470318263 0.204754423466422
"GO:0001659" "BP" "temperature homeostasis" 181 51 0.00202986521349516 0.207248319806809
"GO:0050729" "BP" "positive regulation of inflammatory response" 148 33 0.00211708982452099 0.214987255649406
"GO:0042509" "BP" "regulation of tyrosine phosphorylation of STAT protein" 75 20 0.00212471893324843 0.214987255649406
"GO:0007599" "BP" "hemostasis" 218 53 0.00216475364505364 0.218060273424064
"GO:0007519" "BP" "skeletal muscle tissue development" 157 46 0.00217963155712316 0.218583139799675
"GO:0090066" "BP" "regulation of anatomical structure size" 483 114 0.00224484302338998 0.223477172943761
"GO:0002021" "BP" "response to dietary excess" 34 13 0.00224824136935976 0.223477172943761
"GO:0045785" "BP" "positive regulation of cell adhesion" 465 106 0.00226168653963669 0.223827610001589
"GO:0006909" "BP" "phagocytosis" 230 54 0.00228501903222827 0.224369830900493
"GO:0021527" "BP" "spinal cord association neuron differentiation" 12 8 0.00228705287657833 0.224369830900493
"GO:0006811" "BP" "monoatomic ion transport" 1190 238 0.00231457146218129 0.226086538842678
"GO:0023056" "BP" "positive regulation of signaling" 1709 337 0.00234061457929073 0.227644945547914
"GO:0048754" "BP" "branching morphogenesis of an epithelial tube" 150 48 0.00238742624846907 0.230213187480582
"GO:0003012" "BP" "muscle system process" 437 101 0.00243797258024022 0.234086865108682
"GO:0010001" "BP" "glial cell differentiation" 246 67 0.00249650352361965 0.235571376796017
"GO:0031076" "BP" "embryonic camera-type eye development" 37 17 0.00250043669450642 0.235571376796017
"GO:0006812" "BP" "monoatomic cation transport" 993 202 0.00250740754264685 0.235571376796017
"GO:0042472" "BP" "inner ear morphogenesis" 103 34 0.00250970723868071 0.235571376796017
"GO:0045444" "BP" "fat cell differentiation" 241 61 0.00251072929413803 0.235571376796017
"GO:0007605" "BP" "sensory perception of sound" 154 43 0.00251607435773091 0.235571376796017
"GO:0043586" "BP" "tongue development" 20 10 0.00255446982650666 0.23719776611233
"GO:0033555" "BP" "multicellular organismal response to stress" 88 29 0.00263611346856651 0.24377567338006
"GO:0071695" "BP" "anatomical structure maturation" 252 61 0.00269365294858057 0.24796607313633
"GO:0010959" "BP" "regulation of metal ion transport" 378 87 0.00271239392618942 0.24796607313633
"GO:0010604" "BP" "positive regulation of macromolecule metabolic process" 3276 612 0.00271439550011848 0.24796607313633
"GO:0031667" "BP" "response to nutrient levels" 467 103 0.00275570609468621 0.250724807743951
"GO:0001704" "BP" "formation of primary germ layer" 125 39 0.00280435112926578 0.253841287196925
"GO:0009991" "BP" "response to extracellular stimulus" 496 109 0.00281245886364258 0.253841287196925
"GO:0043583" "BP" "ear development" 217 60 0.00283418320387838 0.254782907618772
"GO:0015718" "BP" "monocarboxylic acid transport" 172 37 0.00289335702198926 0.258046276063896
"GO:0007417" "BP" "central nervous system development" 969 226 0.0029075332200886 0.258289683378265
"GO:0002684" "BP" "positive regulation of immune system process" 991 183 0.00293260669419754 0.259495440972052
"GO:0032755" "BP" "positive regulation of interleukin-6 production" 97 25 0.00298353421568151 0.262970570479053
"GO:0009953" "BP" "dorsal/ventral pattern formation" 96 31 0.00299900688002776 0.263305802493955
"GO:0098609" "BP" "cell-cell adhesion" 913 190 0.00304181185120658 0.266028847328005
"GO:0003018" "BP" "vascular process in circulatory system" 261 64 0.00305993460157751 0.266527509143299
"GO:0002513" "BP" "tolerance induction to self antigen" 4 4 0.00307113775825464 0.266527509143299
"GO:0048701" "BP" "embryonic cranial skeleton morphogenesis" 44 19 0.00314927960464227 0.271245441598268
"GO:0070482" "BP" "response to oxygen levels" 321 78 0.00314954377321159 0.271245441598268
"GO:0120162" "BP" "positive regulation of cold-induced thermogenesis" 100 30 0.00323223978636216 0.277308967830706
"GO:0009628" "BP" "response to abiotic stimulus" 1075 219 0.0033951156961705 0.290139555142682
"GO:0051048" "BP" "negative regulation of secretion" 165 41 0.0035337013953072 0.298630854995175
"GO:0009967" "BP" "positive regulation of signal transduction" 1506 297 0.00359111512934328 0.302044342065211
"GO:0048663" "BP" "neuron fate commitment" 73 27 0.0036008654500772 0.302044342065211
"GO:0033690" "BP" "positive regulation of osteoblast proliferation" 12 7 0.00361848891392843 0.302398458718079
"GO:0061371" "BP" "determination of heart left/right asymmetry" 69 23 0.00369218517068377 0.307418694432873
"GO:0048741" "BP" "skeletal muscle fiber development" 36 14 0.00372365467562309 0.308899059193968
"GO:0008217" "BP" "regulation of blood pressure" 175 44 0.00374951398103866 0.309904884498741
"GO:0071373" "BP" "cellular response to luteinizing hormone stimulus" 5 4 0.00378950245479442 0.310976946590552
"GO:0003007" "BP" "heart morphogenesis" 261 70 0.00379443293188973 0.310976946590552
"GO:0045685" "BP" "regulation of glial cell differentiation" 78 26 0.00380383075957244 0.310976946590552
"GO:0030001" "BP" "metal ion transport" 856 179 0.00386120760790755 0.314528117201538
"GO:0006941" "BP" "striated muscle contraction" 174 46 0.00393420526534628 0.319321610098106
"GO:0031100" "BP" "animal organ regeneration" 60 19 0.00396141184017748 0.320377407748261
"GO:0060349" "BP" "bone morphogenesis" 98 32 0.00416128252344766 0.33533992449669
"GO:0001945" "BP" "lymph vessel development" 31 13 0.00420099147803434 0.337335130641875
"GO:0021515" "BP" "cell differentiation in spinal cord" 49 20 0.0042236438451893 0.33795141745692
"GO:0042063" "BP" "gliogenesis" 328 83 0.00426021713595572 0.339673284295777
"GO:0050727" "BP" "regulation of inflammatory response" 398 74 0.0042887939650789 0.340747700802959
"GO:0006357" "BP" "regulation of transcription by RNA polymerase II" 2355 459 0.00430596921145028 0.340911892235664
"GO:0072189" "BP" "ureter development" 18 10 0.00449214902769189 0.353173695682368
"GO:0042060" "BP" "wound healing" 404 91 0.00461159564749399 0.361305708993244
"GO:0021953" "BP" "central nervous system neuron differentiation" 174 53 0.0046588400079436 0.362823836048792
"GO:1990402" "BP" "embryonic liver development" 3 3 0.00469077452739047 0.362823836048792
"GO:0098660" "BP" "inorganic ion transmembrane transport" 879 181 0.00472362802280362 0.362823836048792
"GO:0007596" "BP" "blood coagulation" 212 50 0.00474561220872629 0.362823836048792
"GO:0031099" "BP" "regeneration" 180 46 0.00474616578233491 0.362823836048792
"GO:0048666" "BP" "neuron development" 1078 250 0.00474640862756745 0.362823836048792
"GO:0014904" "BP" "myotube cell development" 40 15 0.004771991643991 0.362823836048792
"GO:0060158" "BP" "phospholipase C-activating dopamine receptor signaling pathway" 9 5 0.00479206955198415 0.362823836048792
"GO:0086065" "BP" "cell communication involved in cardiac conduction" 56 20 0.00479815916077032 0.362823836048792
"GO:0000165" "BP" "MAPK cascade" 729 150 0.00480784998132373 0.362823836048792
"GO:0010718" "BP" "positive regulation of epithelial to mesenchymal transition" 57 20 0.00483050828684976 0.362877431402576
"GO:0060119" "BP" "inner ear receptor cell development" 45 15 0.00484072446605989 0.362877431402576
"GO:0071363" "BP" "cellular response to growth factor stimulus" 693 155 0.00490797952012088 0.365477417847013
"GO:0060485" "BP" "mesenchyme development" 309 81 0.00492045247398238 0.365477417847013
"GO:0043408" "BP" "regulation of MAPK cascade" 640 133 0.00493994017668077 0.365477417847013
"GO:0001569" "BP" "branching involved in blood vessel morphogenesis" 35 14 0.00499189345327781 0.368095045358694
"GO:0050957" "BP" "equilibrioception" 7 5 0.0050090096432416 0.368154050782096
"GO:0045595" "BP" "regulation of cell differentiation" 1545 316 0.00502551810548323 0.368168151078324
"GO:0048583" "BP" "regulation of response to stimulus" 3822 695 0.00504548565711891 0.368434751997512
"GO:0070848" "BP" "response to growth factor" 720 160 0.005134135088778 0.373409097941114
"GO:0002685" "BP" "regulation of leukocyte migration" 214 46 0.00517034162674932 0.373409097941114
"GO:0007204" "BP" "positive regulation of cytosolic calcium ion concentration" 162 40 0.00517870857188799 0.373409097941114
"GO:0042698" "BP" "ovulation cycle" 71 21 0.00517980179292541 0.373409097941114
"GO:0002062" "BP" "chondrocyte differentiation" 113 36 0.00525455186142592 0.376591989837633
"GO:0007260" "BP" "tyrosine phosphorylation of STAT protein" 78 20 0.00525733366419316 0.376591989837633
"GO:0044321" "BP" "response to leptin" 21 9 0.00535211800398573 0.38029357452985
"GO:0006816" "BP" "calcium ion transport" 424 94 0.00535957085182114 0.38029357452985
"GO:1901741" "BP" "positive regulation of myoblast fusion" 16 8 0.00544128502442413 0.383127512168829
"GO:0032634" "BP" "interleukin-5 production" 17 8 0.00546742859946654 0.383127512168829
"GO:0032674" "BP" "regulation of interleukin-5 production" 17 8 0.00546742859946654 0.383127512168829
"GO:0035924" "BP" "cellular response to vascular endothelial growth factor stimulus" 70 22 0.00551623883713772 0.385351124214166
"GO:0018212" "BP" "peptidyl-tyrosine modification" 267 64 0.00555791899604361 0.387064457489902
"GO:0046888" "BP" "negative regulation of hormone secretion" 66 20 0.00561743784277803 0.389674098212216
"GO:0060065" "BP" "uterus development" 23 11 0.00567410366479363 0.389674098212216
"GO:0035176" "BP" "social behavior" 46 18 0.00570041436881112 0.389674098212216
"GO:0048878" "BP" "chemical homeostasis" 980 190 0.00574673777860149 0.389674098212216
"GO:0060713" "BP" "labyrinthine layer morphogenesis" 22 10 0.00575385310508312 0.389674098212216
"GO:0046881" "BP" "positive regulation of follicle-stimulating hormone secretion" 6 4 0.00576292354994594 0.389674098212216
"GO:0046880" "BP" "regulation of follicle-stimulating hormone secretion" 6 4 0.00576292354994594 0.389674098212216
"GO:0097501" "BP" "stress response to metal ion" 19 7 0.00578053287061806 0.389674098212216
"GO:1903963" "BP" "arachidonate transport" 31 9 0.00578535822110851 0.389674098212216
"GO:0050482" "BP" "arachidonic acid secretion" 31 9 0.00578535822110851 0.389674098212216
"GO:0042743" "BP" "hydrogen peroxide metabolic process" 49 14 0.00583358794973942 0.390931705898825
"GO:0050817" "BP" "coagulation" 217 50 0.00583868041517036 0.390931705898825
"GO:0033273" "BP" "response to vitamin" 82 24 0.00586930905957366 0.391087210375783
"GO:0001890" "BP" "placenta development" 143 39 0.00587566762619174 0.391087210375783
"GO:1904062" "BP" "regulation of monoatomic cation transmembrane transport" 297 69 0.00596208389076472 0.393526069884984
"GO:0021514" "BP" "ventral spinal cord interneuron differentiation" 13 8 0.00600056678009295 0.394742824565648
"GO:0061309" "BP" "cardiac neural crest cell development involved in outflow tract morphogenesis" 12 7 0.00604429307790115 0.396463456423725
"GO:0098662" "BP" "inorganic cation transmembrane transport" 792 163 0.00613937050424672 0.400091673455335
"GO:0060348" "BP" "bone development" 204 54 0.00618179748940989 0.400822064801853
"GO:0014902" "BP" "myotube differentiation" 126 37 0.00629915144871285 0.407260897675521
"GO:0001667" "BP" "ameboidal-type cell migration" 470 105 0.00634234259748934 0.407677471360298
"GO:0061687" "BP" "detoxification of inorganic compound" 20 7 0.00640791938502251 0.407677471360298
"GO:1903351" "BP" "cellular response to dopamine" 71 21 0.00641858165437568 0.407677471360298
"GO:0032535" "BP" "regulation of cellular component size" 348 86 0.0064257095736482 0.407677471360298
"GO:0001662" "BP" "behavioral fear response" 36 14 0.00643197108028326 0.407677471360298
"GO:0048010" "BP" "vascular endothelial growth factor receptor signaling pathway" 60 20 0.00645392665349875 0.407677471360298
"GO:0071407" "BP" "cellular response to organic cyclic compound" 523 114 0.00645863467133215 0.407677471360298
