"ONTOLOGY" "Term" "N" "DE" "P.DE" "FDR"
"GO:0000377" "BP" "RNA splicing, via transesterification reactions with bulged adenosine as nucleophile" 279 108 0.999999992040177 1
"GO:0000378" "BP" "RNA exon ligation" 1 1 0.448226775268225 1
"GO:0000379" "BP" "tRNA-type intron splice site recognition and cleavage" 3 0 1 1
"GO:0000380" "BP" "alternative mRNA splicing, via spliceosome" 67 36 0.84167571760115 1
"GO:0000381" "BP" "regulation of alternative mRNA splicing, via spliceosome" 51 28 0.808619806398695 1
"GO:0000387" "BP" "spliceosomal snRNP assembly" 41 16 0.967677466726156 1
"GO:0000388" "BP" "spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)" 1 1 0.58414666738712 1
"GO:0000389" "BP" "mRNA 3'-splice site recognition" 6 1 0.992392152710101 1
"GO:0000390" "BP" "spliceosomal complex disassembly" 3 1 0.947391013241667 1
"GO:0000393" "BP" "spliceosomal conformational changes to generate catalytic conformation" 5 1 0.9861943093629 1
"GO:0000394" "BP" "RNA splicing, via endonucleolytic cleavage and ligation" 14 5 0.91959632379563 1
"GO:0000395" "BP" "mRNA 5'-splice site recognition" 9 3 0.906518733540668 1
"GO:0000398" "BP" "mRNA splicing, via spliceosome" 279 108 0.999999992040177 1
"GO:0000409" "BP" "regulation of transcription by galactose" 1 1 0.470799674728374 1
"GO:0000411" "BP" "positive regulation of transcription by galactose" 1 1 0.470799674728374 1
"GO:0000413" "BP" "protein peptidyl-prolyl isomerization" 18 5 0.991909989705375 1
"GO:0000422" "BP" "autophagy of mitochondrion" 89 52 0.468468365974046 1
"GO:0000423" "BP" "mitophagy" 33 20 0.410327364791598 1
"GO:0000425" "BP" "pexophagy" 6 2 0.956248750394671 1
"GO:0000429" "BP" "carbon catabolite regulation of transcription from RNA polymerase II promoter" 6 4 0.504342154755957 1
"GO:0000430" "BP" "regulation of transcription from RNA polymerase II promoter by glucose" 5 3 0.682183121025392 1
"GO:0000431" "BP" "regulation of transcription from RNA polymerase II promoter by galactose" 1 1 0.470799674728374 1
"GO:0000432" "BP" "positive regulation of transcription from RNA polymerase II promoter by glucose" 5 3 0.682183121025392 1
"GO:0000435" "BP" "positive regulation of transcription from RNA polymerase II promoter by galactose" 1 1 0.470799674728374 1
"GO:0000436" "BP" "carbon catabolite activation of transcription from RNA polymerase II promoter" 6 4 0.504342154755957 1
"GO:0000447" "BP" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 10 4 0.85839390304567 1
"GO:0000448" "BP" "cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 2 1 0.797454367515001 1
"GO:0000451" "BP" "rRNA 2'-O-methylation" 3 0 1 1
"GO:0000454" "BP" "snoRNA guided rRNA pseudouridine synthesis" 2 1 0.802021180195279 1
"GO:0000455" "BP" "enzyme-directed rRNA pseudouridine synthesis" 3 0 1 1
"GO:0000460" "BP" "maturation of 5.8S rRNA" 35 16 0.843241789976116 1
"GO:0000461" "BP" "endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1 1 0.483083397238251 1
"GO:0000462" "BP" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 34 8 0.999941540306051 1
"GO:0000463" "BP" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 16 7 0.782330018327894 1
"GO:0000466" "BP" "maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 25 13 0.553100478954338 1
"GO:0000467" "BP" "exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 9 5 0.553874045171717 1
"GO:0000470" "BP" "maturation of LSU-rRNA" 27 9 0.982069017019832 1
"GO:0000472" "BP" "endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 5 1 0.988669871984599 1
"GO:0000479" "BP" "endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 17 8 0.7862458029018 1
"GO:0000480" "BP" "endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 8 3 0.920704916458141 1
"GO:0000481" "BP" "maturation of 5S rRNA" 1 0 1 1
"GO:0000491" "BP" "small nucleolar ribonucleoprotein complex assembly" 12 2 0.998410412129977 1
"GO:0000492" "BP" "box C/D snoRNP assembly" 10 2 0.991775032505354 1
"GO:0000493" "BP" "box H/ACA snoRNP assembly" 2 0 1 1
"GO:0000494" "BP" "box C/D RNA 3'-end processing" 3 1 0.860733928973074 1
"GO:0000495" "BP" "box H/ACA RNA 3'-end processing" 1 1 0.669226803166515 1
"GO:0000512" "BP" "lncRNA-mediated post-transcriptional gene silencing" 6 3 0.751497620534892 1
"GO:0000578" "BP" "embryonic axis specification" 40 28 0.0894923297577301 0.708100772011518
"GO:0000706" "BP" "meiotic DNA double-strand break processing" 3 2 0.478991134128348 1
"GO:0000707" "BP" "meiotic DNA recombinase assembly" 1 0 1 1
"GO:0000708" "BP" "meiotic strand invasion" 1 1 0.50357937456738 1
"GO:0000709" "BP" "meiotic joint molecule formation" 1 1 0.50357937456738 1
"GO:0000710" "BP" "meiotic mismatch repair" 1 0 1 1
"GO:0000711" "BP" "meiotic DNA repair synthesis" 3 2 0.483469969223304 1
"GO:0000712" "BP" "resolution of meiotic recombination intermediates" 15 2 0.999792512991634 1
"GO:0000715" "BP" "nucleotide-excision repair, DNA damage recognition" 1 0 1 1
"GO:0000717" "BP" "nucleotide-excision repair, DNA duplex unwinding" 1 1 0.508314335762822 1
"GO:0000720" "BP" "pyrimidine dimer repair by nucleotide-excision repair" 4 0 1 1
"GO:0000722" "BP" "telomere maintenance via recombination" 14 2 0.999715457385184 1
"GO:0000723" "BP" "telomere maintenance" 149 59 0.999975319221261 1
"GO:0000724" "BP" "double-strand break repair via homologous recombination" 164 68 0.999785795448228 1
"GO:0000725" "BP" "recombinational repair" 168 68 0.999925542668661 1
"GO:0000727" "BP" "double-strand break repair via break-induced replication" 12 5 0.894210674725823 1
"GO:0000729" "BP" "DNA double-strand break processing" 19 6 0.986397783296868 1
"GO:0000730" "BP" "DNA recombinase assembly" 4 3 0.356415974699626 1
"GO:0000731" "BP" "DNA synthesis involved in DNA repair" 39 18 0.900698580803441 1
"GO:0000732" "BP" "strand displacement" 1 1 0.688704817424396 1
"GO:0000741" "BP" "karyogamy" 1 0 1 1
"GO:0000768" "BP" "syncytium formation by plasma membrane fusion" 61 44 0.0216690948823711 0.304257284956952
"GO:0000819" "BP" "sister chromatid segregation" 219 94 0.999964278755097 1
"GO:0000820" "BP" "regulation of glutamine family amino acid metabolic process" 8 4 0.704663896946055 1
"GO:0000821" "BP" "regulation of arginine metabolic process" 4 2 0.734121707280839 1
"GO:0000902" "BP" "cell morphogenesis" 904 657 1.02321904432539e-13 4.27553972521447e-11
"GO:0000910" "BP" "cytokinesis" 178 98 0.660294576702525 1
"GO:0000912" "BP" "assembly of actomyosin apparatus involved in cytokinesis" 9 6 0.405059394889794 1
"GO:0000915" "BP" "actomyosin contractile ring assembly" 9 6 0.405059394889794 1
"GO:0000916" "BP" "actomyosin contractile ring contraction" 1 0 1 1
"GO:0000917" "BP" "division septum assembly" 1 1 0.675171254971809 1
"GO:0000921" "BP" "septin ring assembly" 1 0 1 1
"GO:0000956" "BP" "nuclear-transcribed mRNA catabolic process" 124 51 0.99932546588383 1
"GO:0000957" "BP" "mitochondrial RNA catabolic process" 6 0 1 1
"GO:0000958" "BP" "mitochondrial mRNA catabolic process" 3 0 1 1
"GO:0000959" "BP" "mitochondrial RNA metabolic process" 51 12 0.999995410655415 1
"GO:0000960" "BP" "regulation of mitochondrial RNA catabolic process" 5 0 1 1
"GO:0000961" "BP" "negative regulation of mitochondrial RNA catabolic process" 2 0 1 1
"GO:0000962" "BP" "positive regulation of mitochondrial RNA catabolic process" 3 0 1 1
"GO:0000963" "BP" "mitochondrial RNA processing" 20 5 0.995663152525031 1
"GO:0000964" "BP" "mitochondrial RNA 5'-end processing" 3 0 1 1
"GO:0000965" "BP" "mitochondrial RNA 3'-end processing" 5 1 0.98013192215095 1
"GO:0000966" "BP" "RNA 5'-end processing" 21 7 0.979310464418069 1
"GO:0000967" "BP" "rRNA 5'-end processing" 5 1 0.988669871984599 1
"GO:0000968" "BP" "tRNA exon ligation" 1 1 0.448226775268225 1
