"log2foldChange" "pValues" "FDR"
"ENSG00000196154" 0.586924194127596 2.36407320131747e-06 0.0165618103209797
"ENSG00000242140" -0.610760624623342 7.08026129326176e-05 0.0412245153161345
"ENSG00000222924" -0.500173692057777 7.02354110739724e-05 0.0412245153161345
"ENSG00000111886" 0.570371227007427 6.00328171728989e-06 0.0192127521776153
"ENSG00000253300" -0.66015744794395 5.42316599668229e-06 0.0192127521776153
"ENSG00000255760" -0.825251757942236 6.37221443349694e-05 0.0405462835492431
"ENSG00000262874" 0.576005413173612 6.90201430326351e-05 0.0412245153161345
